realization_day,weekday,weekday2,avg_reservation_price,avg_da_price
2021-12-11,5,25,3.67,228.2651704516486
2021-12-12,6,36,3.6650000000000005,184.6481907163308
2021-12-13,0,0,3.6687499999999997,264.5237534679226
2021-12-14,1,1,3.67,257.58912838610223
2021-12-15,2,4,3.67,276.3521823917635
2021-12-16,3,9,3.67,319.9175894499704
2021-12-17,4,16,3.668333333333333,317.12876630588954
2021-12-18,5,25,3.67,252.88681486577357
2021-12-19,6,36,3.67,181.36574684450034
2021-12-20,0,0,3.67,364.49181067185964
2021-12-21,1,1,0.0,358.1872917534233
2021-12-22,2,4,0.0,376.55127289165233
2021-12-23,3,9,0.30541666666666667,349.6646586221918
2021-12-24,4,16,3.6650000000000005,193.46038204717254
2021-12-25,5,25,3.6650000000000005,204.39709992638203
2021-12-26,6,36,3.638333333333333,176.7823575866247
2021-12-28,1,1,3.6,224.56446927580362
2021-12-29,2,4,3.591666666666667,138.592408273827
2021-12-30,3,9,3.596666666666667,101.98034355500955
2021-12-31,4,16,3.596666666666667,58.23736568831717
2022-01-01,5,25,0.0,96.40811217680245
2022-01-02,6,36,0.0,85.52181242941502
2022-01-03,0,0,0.0,81.94350884412167
2022-01-04,1,1,0.0,138.90232663481837
2022-01-05,2,4,0.0,105.25525233336037
2022-01-06,3,9,0.0,155.86949563505604
2022-01-07,4,16,0.0,161.99276874648913
2022-01-08,5,25,0.0,123.45284047481594
2022-01-09,6,36,0.0,114.33411516177789
2022-01-10,0,0,0.0,230.25278912173403
2022-01-11,1,1,0.0,251.87235352889033
2022-01-12,2,4,0.0,261.24579921363596
2022-01-13,3,9,0.0,200.5565119483099
2022-01-14,4,16,0.0,175.11390836447552
2022-01-15,5,25,0.0,198.36434502872737
2022-01-16,6,36,0.0,140.79421279961196
2022-01-17,0,0,0.0,147.66596347247437
2022-01-18,1,1,0.0,199.16244878900434
2022-01-19,2,4,0.0,186.84779664910434
2022-01-20,3,9,0.0,153.46964042298094
2022-01-21,4,16,0.0,175.20811435934925
2022-01-22,5,25,0.0,177.62991861540561
2022-01-23,6,36,0.0,175.895640518533
2022-01-24,0,0,0.0,221.18810570206665
2022-01-25,1,1,0.0,247.905757419594
2022-01-26,2,4,0.0,242.61013096029103
2022-01-27,3,9,0.0,168.5379878259545
